date,close,high,low,open
10/07/15.10.2015__00:00__AM,110.78,111.77,109.41,111.74
10/08/15.10.2015__00:00__AM,109.5,110.19,108.21,110.19
10/09/15.10.2015__00:00__AM,112.12,112.28,109.49,110.0
10/12/15.10.2015__00:00__AM,111.6,112.75,111.44,112.73
10/13/15.10.2015__00:00__AM,111.79,112.45,110.68,110.82
10/14/15.10.2015__00:00__AM,110.21,111.52,109.56,111.29
10/15/15.10.2015__00:00__AM,111.86,112.1,110.49,110.93
10/16/15.10.2015__00:00__AM,111.04,112.0,110.53,111.78
10/19/15.10.2015__00:00__AM,111.73,111.75,110.11,110.8
10/20/15.10.2015__00:00__AM,113.77,114.17,110.82,111.34
10/21/15.10.2015__00:00__AM,113.76,115.58,113.7,114.0
10/22/15.10.2015__00:00__AM,115.5,115.5,114.1,114.33
10/23/15.10.2015__00:00__AM,119.08,119.228,116.33,116.7
10/26/15.10.2015__00:00__AM,115.28,118.13,114.92,118.08
10/27/15.10.2015__00:00__AM,114.55,116.54,113.99,115.4
10/28/15.10.2015__00:00__AM,119.27,119.3,116.06,116.93
10/29/15.10.2015__00:00__AM,120.53,120.69,118.27,118.7
10/30/15.10.2015__00:00__AM,119.5,121.22,119.45,120.99
11/02/15.11.2015__00:00__AM,121.18,121.36,119.61,119.87
11/03/15.11.2015__00:00__AM,122.57,123.49,120.7,120.79
11/04/15.11.2015__00:00__AM,122.0,123.82,121.62,123.13
11/05/15.11.2015__00:00__AM,120.92,122.69,120.18,121.85
11/06/15.11.2015__00:00__AM,121.06,121.81,120.62,121.11
11/09/15.11.2015__00:00__AM,120.57,121.81,120.05,120.96
11/10/15.11.2015__00:00__AM,116.77,118.07,116.061,116.9
11/11/15.11.2015__00:00__AM,116.11,117.42,115.21,116.37
11/12/15.11.2015__00:00__AM,115.72,116.82,115.65,116.26
11/13/15.11.2015__00:00__AM,112.34,115.57,112.27,115.2
11/16/15.11.2015__00:00__AM,114.175,114.24,111.0,111.38
11/17/15.11.2015__00:00__AM,113.69,115.05,113.32,114.92
11/18/15.11.2015__00:00__AM,117.29,117.49,115.5,115.76
11/19/15.11.2015__00:00__AM,118.78,119.75,116.76,117.64
11/20/15.11.2015__00:00__AM,119.3,119.92,118.85,119.2
11/23/15.11.2015__00:00__AM,117.75,119.73,117.34,119.27
11/24/15.11.2015__00:00__AM,118.88,119.35,117.12,117.33
11/25/15.11.2015__00:00__AM,118.03,119.23,117.92,119.21
11/27/15.11.2015__00:00__AM,117.81,118.41,117.6,118.29
11/30/15.11.2015__00:00__AM,118.3,119.41,117.75,117.99
12/01/15.12.2015__00:00__AM,117.34,118.81,116.86,118.75
12/02/15.12.2015__00:00__AM,116.28,118.11,116.08,117.05
12/03/15.12.2015__00:00__AM,115.2,116.79,114.22,116.55
12/04/15.12.2015__00:00__AM,119.03,119.25,115.11,115.29
12/07/15.12.2015__00:00__AM,118.28,119.86,117.81,118.98
12/08/15.12.2015__00:00__AM,118.23,118.6,116.86,117.52
12/09/15.12.2015__00:00__AM,115.62,117.69,115.08,117.64
12/10/15.12.2015__00:00__AM,116.17,116.94,115.51,116.04
12/11/15.12.2015__00:00__AM,113.18,115.39,112.851,115.19
12/14/15.12.2015__00:00__AM,112.48,112.68,109.79,112.18
12/15/15.12.2015__00:00__AM,110.49,112.8,110.35,111.94
12/16/15.12.2015__00:00__AM,111.34,111.99,108.8,111.07
12/17/15.12.2015__00:00__AM,108.98,112.25,108.98,112.02
12/18/15.12.2015__00:00__AM,106.03,109.52,105.81,108.91
12/21/15.12.2015__00:00__AM,107.33,107.37,105.57,107.28
12/22/15.12.2015__00:00__AM,107.23,107.72,106.451,107.4
12/23/15.12.2015__00:00__AM,108.61,108.85,107.2,107.27
12/24/15.12.2015__00:00__AM,108.03,109.0,107.95,109.0
12/28/15.12.2015__00:00__AM,106.82,107.69,106.1807,107.59
12/29/15.12.2015__00:00__AM,108.74,109.43,106.86,106.96
12/30/15.12.2015__00:00__AM,107.32,108.7,107.18,108.58
12/31/15.12.2015__00:00__AM,105.26,107.03,104.82,107.01
01/04/16.01.2016__00:00__AM,105.35,105.368,102.0,102.61
01/05/16.01.2016__00:00__AM,102.71,105.85,102.41,105.75
